TEST,TEST,0,0,0,0
20:18:00.126,gRPC,363.0000,45,80,4.000000
20:18:00.226,gRPC,457.0000,45,80,5.000000
20:18:00.226,REST,504.0000,115,136,12.000000
20:18:00.325,gRPC,187.0000,45,80,3.000000
20:18:00.325,REST,272.0000,115,136,6.000000
20:18:00.426,gRPC,431.0000,45,80,4.000000
20:18:00.426,REST,576.0000,115,136,11.000000
20:18:00.526,gRPC,432.0000,45,80,5.000000
20:18:00.526,REST,451.0000,115,136,12.000000
20:18:00.626,REST,445.0000,115,136,11.000000
20:18:00.626,gRPC,482.0000,45,80,3.000000
20:18:00.726,gRPC,490.0000,45,80,4.000000
20:18:00.726,REST,554.0000,115,136,12.000000
20:18:00.826,gRPC,404.0000,45,80,6.000000
20:18:00.826,REST,478.0000,115,136,13.000000
20:18:00.926,gRPC,845.0000,45,80,5.000000
20:18:00.927,REST,929.0000,115,136,15.000000
20:18:01.026,REST,328.0000,115,136,8.000000
20:18:01.026,gRPC,342.0000,45,80,3.000000
20:18:01.126,REST,432.0000,115,136,12.000000
20:18:01.126,gRPC,476.0000,45,80,5.000000
20:18:01.226,gRPC,435.0000,45,80,7.000000
20:18:01.226,REST,461.0000,115,136,16.000000
20:18:01.326,gRPC,494.0000,45,80,6.000000
20:18:01.326,REST,533.0000,115,136,14.000000
20:18:01.426,REST,361.0000,115,136,12.000000
20:18:01.426,gRPC,581.0000,45,80,7.000000
20:18:01.526,REST,439.0000,115,136,16.000000
20:18:01.526,gRPC,464.0000,45,80,6.000000
20:18:01.626,gRPC,545.0000,45,80,7.000000
20:18:01.626,REST,563.0000,115,136,16.000000
20:18:01.726,REST,460.0000,115,136,8.000000
20:18:01.726,gRPC,473.0000,45,80,3.000000
20:18:01.825,REST,475.0000,115,136,16.000000
20:18:01.825,gRPC,527.0000,45,80,5.000000
20:18:01.926,gRPC,548.0000,45,80,6.000000
20:18:01.926,REST,606.0000,115,136,15.000000
20:18:02.026,gRPC,473.0000,45,80,5.000000
20:18:02.026,REST,592.0000,115,136,16.000000
20:18:02.126,REST,500.0000,115,136,16.000000
20:18:02.126,gRPC,597.0000,45,80,7.000000
